2023-07-01; 08:41:36; 00:27:59; Этикетировка; Настройка;
2023-07-01; 12:31:27; 00:06:35; Триблок; Настройка;
2023-07-01; 09:09:38; 00:09:24; Триблок; |Ремонт наливного крана;|
2023-07-01; 07:57:15; 00:05:44; Этикетировка; |Настройка после переналадки;|
2023-07-01; 04:03:50; 03:53:11; Переналадка; |Переход по этикетке, в/м и бутылке с мойкой (4 ч);|
2023-07-01; 10:30:26; 00:04:53; |Этикетировочная машина;| |Замена контрэтикетки, этикетки, марки;|
2023-07-01; 00:03:00; 00:34:40; Триблок; Обед;
2023-07-01; 01:27:14; 00:07:44; Триблок; |Ремонт наливного крана;|
2023-07-01; 13:18:18; 00:07:51; |Групповой считыватель;| |Замена рибона, коробочного стикера;|
2023-07-01; 15:07:33; 00:09:00; Триблок; |Ремонт наливного крана;|
2023-07-01; 09:36:21; 00:05:06; Триблок; Настройка;
2023-07-01; 11:52:20; 00:06:09; Триблок; |Ремонт наливного крана;|
2023-07-01; 02:08:46; 00:08:39; Триблок; Настройка;
2023-07-01; 08:03:59; 00:15:34; Триблок; |Поломка аппарата;|
2023-07-01; 09:52:40; 00:16:44; Триблок; |Ремонт наливного крана;|
2023-07-01; 02:19:00; 00:03:55; |Этикетировочная машина;| |Замена контрэтикетки, этикетки, марки;|
2023-07-01; 13:50:39; 00:03:41; |Этикетировочная машина;| |Замена QR;|
2023-07-01; 14:46:09; 00:05:17; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-01; 03:40:09; 00:26:36; Триблок; |Переход по этикетке, в/м и бутылке с мойкой (4 ч);|
2023-07-01; 15:02:37; 00:04:33; |Капсуляторная машина;| Настройка;
2023-07-01; 16:16:49; 00:08:52; Триблок; |Отсутствие электроэнергии;|
2023-07-01; 16:34:00; 00:33:16; Триблок; Обед;
2023-07-01; 17:10:28; 00:13:44; Триблок; |Ремонт наливного крана;|
2023-07-01; 17:33:57; 00:21:47; Триблок; |Переход на новый акратофор,емкость;|
2023-07-01; 18:44:07; 00:43:57; Триблок; |Переход по этикетке, пробке, мюзле;|
2023-07-02; 04:42:33; 00:26:30; |Мюзлёвочный аппарат;| |Поломка аппарата;|
2023-07-01; 22:28:48; 00:04:02; Этикетировка; Настройка;
2023-07-02; 14:26:39; 00:04:52; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-01; 22:33:03; 00:06:08; |Мюзлёвочный аппарат;| Настройка;
2023-07-02; 00:03:00; 00:40:19; |Триблок розлива;| |Открытие партии суточное;|
2023-07-01; 23:08:35; 00:06:35; Этикетировка; Настройка;
2023-07-02; 02:46:52; 00:15:09; |Мюзлёвочный аппарат;| Настройка;
2023-07-02; 10:48:21; 01:56:42; Термотоннель; |Поломка аппарата;|
2023-07-02; 09:54:57; 00:04:07; |Мюзлёвочный аппарат;| Настройка;
2023-07-01; 23:23:16; 00:04:40; |Этикетировочная машина;| |Замена контрэтикетки, этикетки, марки;|
2023-07-02; 13:36:09; 00:04:37; |Этикетировочная машина;| |Замена контрэтикетки, этикетки, марки;|
2023-07-02; 05:10:43; 00:05:57; |Мюзлёвочный аппарат;| |Поломка аппарата;|
2023-07-02; 01:05:21; 00:04:37; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-02; 03:06:39; 00:25:19; |Мюзлёвочный аппарат;| |Поломка аппарата;|
2023-07-01; 23:34:11; 00:07:22; |Мюзлёвочный аппарат;| Настройка;
2023-07-02; 05:23:03; 02:39:51; |Мюзлёвочный аппарат;| |Поломка аппарата;|
2023-07-01; 19:44:11; 00:13:29; Триблок; Настройка;
2023-07-01; 23:51:59; 00:10:00; Триблок; |Закрытие партии суточное;|
2023-07-01; 20:02:42; 00:10:32; |Капсуляторная машина;| Настройка;
2023-07-01; 20:36:07; 00:05:27; Этикетировка; Настройка;
2023-07-02; 01:21:06; 00:04:03; |Мюзлёвочный аппарат;| Настройка;
2023-07-02; 03:33:34; 00:15:14; |Мюзлёвочный аппарат;| |Поломка аппарата;|
2023-07-01; 20:50:09; 00:05:52; |Мюзлёвочный аппарат;| Настройка;
2023-07-02; 10:01:34; 00:04:43; |Мюзлёвочный аппарат;| Настройка;
2023-07-02; 03:55:04; 00:44:24; Триблок; Обед;
2023-07-01; 21:13:36; 00:05:02; Триблок; Настройка;
2023-07-02; 14:42:15; 00:07:40; Триблок; |Ремонт наливного крана;|
